Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR5071654,RNA-Seq,100,3337302900,PRJNA356065,SAMN06102584,1088020714,C125PM,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391521,GSM2414760,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T17:00:00Z,1,GSM2414760,C125PM epithelial colorectal cancer cell line,SRP094494
SRR5071655,RNA-Seq,100,3070822500,PRJNA356065,SAMN06102583,999613838,C135,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391522,GSM2414761,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:56:00Z,1,GSM2414761,C135 epithelial colorectal cancer cell line,SRP094494
SRR5071656,RNA-Seq,100,6407814800,PRJNA356065,SAMN06102582,4397575137,C70,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391523,GSM2414762,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:58:00Z,1,GSM2414762,C70 epithelial colorectal cancer cell line,SRP094494
SRR5071657,RNA-Seq,100,3461113300,PRJNA356065,SAMN06102581,1125944381,CACO2,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391524,GSM2414763,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:56:00Z,1,GSM2414763,CACO2 epithelial colorectal cancer cell line,SRP094494
SRR5071658,RNA-Seq,100,4694428400,PRJNA356065,SAMN06102580,3215313417,COLO201,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391525,GSM2414764,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:57:00Z,1,GSM2414764,COLO201 epithelial colorectal cancer cell line,SRP094494
SRR5071659,RNA-Seq,100,5112096400,PRJNA356065,SAMN06102579,3496509485,COLO205,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391526,GSM2414765,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:57:00Z,1,GSM2414765,COLO205 epithelial colorectal cancer cell line,SRP094494
SRR5071660,RNA-Seq,100,5139400200,PRJNA356065,SAMN06102578,2415714683,COLO320,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391527,GSM2414766,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:58:00Z,1,GSM2414766,COLO320 epithelial colorectal cancer cell line,SRP094494
SRR5071661,RNA-Seq,100,8624135900,PRJNA356065,SAMN06102577,3729925365,DiFi,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391528,GSM2414767,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T17:05:00Z,1,GSM2414767,DiFi epithelial colorectal cancer cell line,SRP094494
SRR5071662,RNA-Seq,100,5555667700,PRJNA356065,SAMN06102576,2735743353,DLD1,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391529,GSM2414768,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:57:00Z,1,GSM2414768,DLD1 epithelial colorectal cancer cell line,SRP094494
SRR5071663,RNA-Seq,100,2851126900,PRJNA356065,SAMN06102575,1957315994,GEO,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391530,GSM2414769,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:54:00Z,1,GSM2414769,GEO epithelial colorectal cancer cell line,SRP094494
SRR5071664,RNA-Seq,100,3182301000,PRJNA356065,SAMN06102574,2248787483,Gp5D,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391531,GSM2414770,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:55:00Z,1,GSM2414770,Gp5D epithelial colorectal cancer cell line,SRP094494
SRR5071665,RNA-Seq,100,6487567800,PRJNA356065,SAMN06102573,4450906110,HCA7,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391532,GSM2414771,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T17:11:00Z,1,GSM2414771,HCA7 epithelial colorectal cancer cell line,SRP094494
SRR5071666,RNA-Seq,100,3254387100,PRJNA356065,SAMN06102572,2235259815,HCC2998,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391533,GSM2414772,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:53:00Z,1,GSM2414772,HCC2998 epithelial colorectal cancer cell line,SRP094494
SRR5071667,RNA-Seq,100,4482633800,PRJNA356065,SAMN06102571,3072519354,HCT116,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391534,GSM2414773,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:58:00Z,1,GSM2414773,HCT116 epithelial colorectal cancer cell line,SRP094494
SRR5071668,RNA-Seq,100,3342371500,PRJNA356065,SAMN06102570,2205815983,HCT15,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391535,GSM2414774,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:54:00Z,1,GSM2414774,HCT15 epithelial colorectal cancer cell line,SRP094494
SRR5071669,RNA-Seq,100,3651857000,PRJNA356065,SAMN06102569,2512298158,HCT8,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391536,GSM2414775,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:55:00Z,1,GSM2414775,HCT8 epithelial colorectal cancer cell line,SRP094494
SRR5071670,RNA-Seq,100,3859054800,PRJNA356065,SAMN06102568,2657213335,HRA19,epithelial colorectal cancer cell line,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2391537,GSM2414776,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-12T00:00:00Z,2016-12-02T16:54:00Z,1,GSM2414776,HRA19 epithelial colorectal cancer cell line,SRP094494
